iter	Passed	Remaining
0	2	216
1	5	246
2	7	233
3	28	680
4	31	598
5	34	545
6	37	496
7	43	502
8	46	469
9	48	435
10	51	415
11	56	416
12	64	432
13	68	421
14	76	432
15	79	415
16	81	396
17	84	385
18	87	373
19	89	359
20	92	346
21	97	345
22	100	337
23	103	327
24	105	317
25	109	312
26	111	301
27	116	299
28	118	289
29	119	279
30	121	270
31	125	267
32	128	261
33	130	253
34	132	245
35	133	237
36	135	229
37	136	223
38	138	216
39	141	211
40	145	209
41	147	203
42	150	199
43	152	193
44	153	187
45	155	182
46	158	178
47	159	173
48	161	168
49	163	163
50	166	159
51	168	155
52	170	150
53	171	146
54	173	141
55	174	137
56	177	133
57	178	129
58	180	125
59	182	121
60	183	117
61	185	113
62	188	110
63	190	106
64	191	103
65	192	99
66	194	95
67	196	92
68	197	88
69	199	85
70	200	82
71	204	79
72	206	76
73	208	73
74	209	69
75	211	66
76	212	63
77	214	60
78	216	57
79	221	55
80	223	52
81	224	49
82	228	46
83	230	43
84	233	41
85	235	38
86	237	35
87	238	32
88	239	29
89	241	26
90	242	23
91	243	21
92	244	18
93	247	15
94	249	13
95	250	10
96	251	7
97	253	5
98	254	2
99	255	0
