iter	Passed	Remaining
0	172	172491
1	178	88865
2	187	62170
3	193	48182
4	203	40517
5	210	34838
6	217	30867
7	226	28048
8	231	25496
9	238	23589
10	241	21744
11	244	20140
12	246	18739
13	249	17548
14	252	16560
15	253	15614
16	255	14790
17	257	14048
18	258	13370
19	260	12758
20	261	12204
21	264	11739
22	265	11288
23	266	10855
24	268	10456
25	269	10086
26	270	9745
27	271	9427
28	272	9133
29	274	8861
30	275	8604
31	276	8371
32	279	8183
33	280	7974
34	282	7776
35	283	7604
36	285	7425
37	286	7255
38	287	7092
39	289	6936
40	290	6788
41	293	6687
42	294	6554
43	295	6426
44	297	6304
45	298	6187
46	299	6073
47	300	5966
48	302	5863
49	303	5763
50	304	5669
51	307	5608
52	308	5520
53	310	5433
54	311	5355
55	312	5274
56	314	5197
57	315	5121
58	316	5049
59	317	4979
60	319	4911
61	321	4868
62	323	4804
63	324	4742
64	325	4682
65	326	4623
66	327	4566
67	329	4510
68	330	4456
69	331	4404
70	332	4353
71	333	4304
72	336	4277
73	338	4229
74	339	4182
75	340	4137
76	341	4092
77	342	4048
78	343	4006
79	344	3965
80	346	3925
81	347	3887
82	347	3844
83	350	3819
84	351	3789
85	353	3755
86	354	3721
87	355	3688
88	357	3656
89	358	3624
90	359	3593
91	360	3562
92	362	3531
93	364	3516
94	366	3489
95	367	3460
96	368	3431
97	369	3403
98	370	3375
99	372	3349
100	373	3323
101	374	3298
102	375	3273
103	377	3248
104	380	3243
105	382	3225
106	384	3210
107	386	3194
108	388	3173
109	389	3153
110	391	3138
111	396	3142
112	398	3125
113	400	3109
114	401	3090
115	402	3069
116	403	3047
117	405	3027
118	406	3007
119	408	2995
120	409	2978
121	410	2957
122	412	2938
123	413	2919
124	414	2901
125	415	2883
126	416	2863
127	417	2846
128	419	2829
129	420	2812
130	421	2796
131	424	2789
132	425	2773
133	426	2757
134	427	2741
135	428	2725
136	430	2710
137	431	2694
138	432	2679
139	433	2664
140	435	2650
141	435	2633
142	438	2627
143	439	2613
144	440	2600
145	442	2587
146	443	2573
147	444	2560
148	445	2547
149	447	2534
150	448	2520
151	449	2507
152	452	2505
153	454	2494
154	455	2482
155	457	2474
156	459	2467
157	461	2456
158	462	2446
159	463	2435
160	464	2421
161	467	2418
162	468	2407
163	470	2397
164	471	2386
165	472	2376
166	474	2365
167	475	2354
168	476	2344
169	478	2334
170	480	2328
171	482	2320
172	483	2310
173	484	2302
174	486	2294
175	488	2285
176	489	2277
177	491	2269
178	492	2259
179	494	2252
180	497	2250
181	498	2242
182	500	2234
183	502	2227
184	504	2220
185	505	2212
186	509	2214
187	510	2205
188	512	2197
189	513	2188
190	514	2179
191	515	2170
192	516	2161
193	517	2151
194	519	2143
195	520	2136
196	525	2140
197	526	2132
198	527	2123
199	528	2114
200	529	2106
201	531	2097
202	532	2089
203	533	2081
204	534	2073
205	536	2066
206	538	2063
207	539	2056
208	541	2048
209	542	2040
210	543	2032
211	544	2025
212	546	2017
213	547	2010
214	548	2003
215	549	1995
216	553	1995
217	554	1988
218	555	1981
219	556	1974
220	558	1969
221	559	1962
222	561	1955
223	562	1948
224	563	1941
225	564	1934
226	567	1933
227	569	1927
228	570	1920
229	571	1914
230	573	1907
231	574	1900
232	575	1894
233	576	1887
234	577	1881
235	579	1874
236	581	1873
237	583	1867
238	584	1861
239	585	1854
240	587	1849
241	588	1843
242	590	1838
243	591	1833
244	592	1827
245	594	1822
246	596	1819
247	598	1813
248	599	1807
249	600	1801
250	601	1795
251	602	1789
252	604	1783
253	605	1777
254	606	1771
255	607	1765
256	610	1765
257	612	1760
258	613	1754
259	614	1748
260	615	1743
261	616	1737
262	618	1731
263	619	1726
264	620	1720
265	621	1715
266	623	1712
267	625	1707
268	626	1702
269	627	1696
270	628	1691
271	629	1686
272	631	1680
273	632	1675
274	633	1670
275	634	1664
276	635	1659
277	639	1659
278	640	1655
279	641	1649
280	642	1644
281	644	1639
282	645	1634
283	646	1629
284	647	1624
285	648	1619
286	649	1614
287	651	1609
288	653	1608
289	655	1604
290	656	1599
291	658	1595
292	659	1591
293	660	1586
294	661	1581
295	663	1576
296	664	1572
297	665	1567
298	667	1565
299	669	1561
300	670	1557
301	671	1552
302	672	1548
303	674	1543
304	675	1538
305	676	1534
306	677	1529
307	678	1525
308	680	1521
309	683	1520
310	684	1516
311	685	1512
312	686	1507
313	688	1503
314	689	1498
315	690	1494
316	691	1490
317	693	1486
318	694	1481
319	695	1478
320	697	1475
321	698	1471
322	700	1467
323	701	1463
324	702	1458
325	703	1454
326	704	1450
327	706	1446
328	707	1442
329	708	1438
330	711	1437
331	712	1433
332	713	1429
333	714	1425
334	716	1421
335	717	1418
336	719	1414
337	720	1410
338	721	1406
339	722	1402
340	723	1399
341	726	1397
342	727	1393
343	728	1389
344	729	1385
345	731	1381
346	732	1378
347	733	1374
348	734	1370
349	735	1366
350	737	1362
351	738	1359
352	741	1358
353	742	1354
354	743	1351
355	747	1351
356	749	1349
357	750	1346
358	752	1343
359	756	1344
360	757	1340
361	758	1336
362	759	1333
363	760	1329
364	762	1326
365	763	1322
366	764	1318
367	765	1315
368	767	1311
369	769	1309
370	770	1306
371	772	1303
372	773	1299
373	774	1296
374	775	1292
375	776	1289
376	778	1285
377	779	1282
378	780	1278
379	781	1275
380	783	1272
381	784	1269
382	786	1266
383	787	1263
384	788	1259
385	789	1256
386	791	1253
387	792	1249
388	793	1246
389	794	1243
390	795	1239
391	798	1238
392	799	1235
393	800	1231
394	802	1228
395	803	1225
396	804	1221
397	805	1218
398	807	1215
399	808	1212
400	809	1209
401	810	1206
402	814	1206
403	815	1203
404	817	1200
405	818	1198
406	820	1195
407	822	1192
408	823	1190
409	825	1187
410	828	1187
411	830	1185
412	832	1183
413	837	1185
414	838	1182
415	840	1179
416	841	1176
417	843	1173
418	844	1171
419	845	1167
420	847	1164
421	848	1161
422	849	1159
423	851	1156
424	852	1153
425	854	1150
426	857	1150
427	858	1147
428	860	1144
429	861	1141
430	862	1138
431	863	1135
432	865	1133
433	866	1130
434	867	1127
435	869	1124
436	872	1124
437	874	1121
438	875	1118
439	876	1115
440	877	1112
441	879	1109
442	880	1106
443	881	1104
444	882	1101
445	884	1098
446	886	1096
447	888	1094
448	889	1091
449	890	1088
450	891	1085
451	893	1082
452	894	1079
453	895	1077
454	897	1074
455	899	1073
456	901	1070
457	902	1068
458	903	1065
459	905	1062
460	906	1059
461	907	1057
462	909	1054
463	910	1051
464	911	1048
465	914	1048
466	916	1045
467	917	1042
468	918	1040
469	919	1037
470	921	1034
471	922	1031
472	923	1028
473	924	1026
474	925	1023
475	927	1020
476	930	1019
477	931	1017
478	933	1015
479	935	1013
480	936	1010
481	938	1008
482	939	1005
483	940	1002
484	942	1000
485	943	998
486	945	995
487	946	993
488	947	990
489	949	987
490	950	985
491	951	982
492	952	979
493	954	977
494	955	974
495	958	974
496	960	971
497	961	969
498	962	966
499	963	963
500	964	961
501	966	958
502	967	955
503	968	953
504	970	950
505	973	950
506	974	947
507	975	945
508	977	942
509	978	940
510	979	937
511	980	934
512	982	932
513	983	929
514	984	927
515	987	926
516	989	924
517	991	922
518	992	919
519	993	917
520	994	914
521	996	912
522	997	909
523	998	907
524	1000	904
525	1002	903
526	1004	901
527	1005	898
528	1006	896
529	1007	893
530	1009	891
531	1010	888
532	1011	886
533	1012	883
534	1016	883
535	1017	881
536	1019	878
537	1020	876
538	1022	874
539	1023	872
540	1025	869
541	1026	867
542	1027	864
543	1029	862
544	1032	861
545	1033	859
546	1035	857
547	1037	855
548	1038	853
549	1040	850
550	1041	848
551	1042	846
552	1044	844
553	1046	842
554	1048	840
555	1049	838
556	1051	836
557	1052	833
558	1053	831
559	1054	828
560	1056	826
561	1057	824
562	1060	823
563	1062	820
564	1063	818
565	1064	816
566	1065	813
567	1067	811
568	1068	809
569	1069	806
570	1070	804
571	1072	802
572	1075	801
573	1076	799
574	1078	796
575	1079	794
576	1080	792
577	1082	790
578	1083	787
579	1084	785
580	1086	783
581	1087	781
582	1090	779
583	1092	777
584	1093	775
585	1094	773
586	1095	771
587	1097	768
588	1098	766
589	1099	764
590	1101	761
591	1102	759
592	1105	758
593	1106	756
594	1107	754
595	1109	751
596	1110	749
597	1111	747
598	1112	745
599	1114	742
600	1115	740
601	1116	738
602	1118	736
603	1122	736
604	1125	734
605	1128	733
606	1130	731
607	1132	729
608	1134	728
609	1136	726
610	1138	724
611	1139	722
612	1141	720
613	1143	718
614	1144	716
615	1145	714
616	1152	715
617	1199	741
618	1202	739
619	1204	738
620	1207	736
621	1209	734
622	1211	733
623	1215	732
624	1217	730
625	1220	729
626	1222	727
627	1223	724
628	1225	722
629	1227	720
630	1231	720
631	1234	718
632	1237	717
633	1239	715
634	1240	713
635	1244	712
636	1246	710
637	1248	708
638	1250	706
639	1252	704
640	1256	703
641	1261	703
642	1263	701
643	1265	699
644	1268	697
645	1270	696
646	1272	694
647	1277	693
648	1278	691
649	1280	689
650	1282	687
651	1284	685
652	1285	683
653	1288	681
654	1296	682
655	1298	680
656	1300	679
657	1302	677
658	1310	678
659	1313	676
660	1315	674
661	1318	672
662	1323	672
663	1326	671
664	1328	669
665	1330	667
666	1333	665
667	1337	664
668	1340	663
669	1343	661
670	1345	659
671	1348	658
672	1350	656
673	1352	654
674	1354	652
675	1357	650
676	1359	648
677	1361	646
678	1363	644
679	1367	643
680	1369	641
681	1371	639
682	1375	638
683	1377	636
684	1380	634
685	1382	632
686	1383	630
687	1386	628
688	1388	626
689	1395	627
690	1401	626
691	1411	628
692	1414	626
693	1417	625
694	1420	623
695	1422	621
696	1425	619
697	1426	617
698	1428	615
699	1430	613
700	1432	610
701	1433	608
702	1435	606
703	1439	605
704	1441	603
705	1443	600
706	1445	599
707	1447	597
708	1449	594
709	1454	593
710	1456	592
711	1458	590
712	1460	587
713	1462	585
714	1463	583
715	1464	581
716	1468	579
717	1469	577
718	1470	574
719	1472	572
720	1473	570
721	1474	567
722	1476	565
723	1477	563
724	1479	561
725	1482	559
726	1484	557
727	1486	555
728	1488	553
729	1490	551
730	1492	549
731	1493	546
732	1495	544
733	1497	542
734	1499	540
735	1500	538
736	1502	536
737	1503	533
738	1505	531
739	1507	529
740	1510	527
741	1511	525
742	1513	523
743	1514	521
744	1516	518
745	1517	516
746	1519	514
747	1520	512
748	1526	511
749	1529	509
750	1532	508
751	1534	506
752	1536	503
753	1537	501
754	1541	500
755	1542	497
756	1544	495
757	1545	493
758	1547	491
759	1549	489
760	1550	487
761	1552	484
762	1555	483
763	1557	480
764	1558	478
765	1559	476
766	1561	474
767	1562	472
768	1564	470
769	1566	467
770	1570	466
771	1572	464
772	1573	462
773	1575	459
774	1576	457
775	1578	455
776	1579	453
777	1581	451
778	1582	448
779	1585	447
780	1586	444
781	1587	442
782	1589	440
783	1590	438
784	1591	435
785	1592	433
786	1594	431
787	1595	429
788	1598	427
789	1599	425
790	1601	423
791	1603	421
792	1606	419
793	1607	417
794	1609	414
795	1610	412
796	1613	411
797	1615	408
798	1616	406
799	1617	404
800	1619	402
801	1620	400
802	1621	397
803	1623	395
804	1624	393
805	1625	391
